IP,Puerto,Protocolo,Servicio,Version_Completa,CVE,CVSS_Score,Criticidad
192.168.56.101,60683,tcp,status,1,CVE-2007-6231,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2008-0267,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2008-4688,5.0,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2010-1304,5.0,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2009-4775,4.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2010-2477,4.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2011-0503,6.8,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2011-0504,4.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2010-4740,9.3,CRÍTICO
192.168.56.101,60683,tcp,status,1,CVE-2011-3534,5.0,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2011-5022,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2012-2414,6.5,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2012-3791,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2012-5522,5.5,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2012-4690,7.1,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2013-0759,5.0,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2013-0776,4.0,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2013-2264,5.0,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2013-4137,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2013-5187,1.9,BAJO
192.168.56.101,60683,tcp,status,1,CVE-2013-6627,5.0,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2013-6436,2.1,BAJO
192.168.56.101,60683,tcp,status,1,CVE-2013-7106,6.5,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2013-7108,5.5,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2014-0661,8.3,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2014-2386,5.0,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2014-0356,7.9,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2014-4163,6.8,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2014-4965,4.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2014-4432,4.7,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2014-3564,6.8,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2014-10009,4.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2015-1176,4.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2015-5326,4.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2015-7926,9.9,CRÍTICO
192.168.56.101,60683,tcp,status,1,CVE-2016-0757,4.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2016-6483,8.6,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2016-6304,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2016-6336,6.5,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2017-8099,8.1,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2017-1236,6.5,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2017-2343,10.0,CRÍTICO
192.168.56.101,60683,tcp,status,1,CVE-2017-11645,9.8,CRÍTICO
192.168.56.101,60683,tcp,status,1,CVE-2017-7920,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2017-12231,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2015-2142,8.0,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2015-2144,4.8,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2015-2146,9.8,CRÍTICO
192.168.56.101,60683,tcp,status,1,CVE-2017-8147,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2017-17431,6.1,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2018-6609,9.8,CRÍTICO
192.168.56.101,60683,tcp,status,1,CVE-2018-2377,6.5,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2018-8140,6.8,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2018-14351,9.8,CRÍTICO
192.168.56.101,60683,tcp,status,1,CVE-2018-8020,7.4,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2017-12575,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2018-0051,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2018-18551,6.1,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2018-19311,5.4,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2018-18923,9.8,CRÍTICO
192.168.56.101,60683,tcp,status,1,CVE-2018-18441,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2019-3862,7.3,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2019-6796,6.1,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2019-8338,5.9,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2019-10335,5.4,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2019-10962,5.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2019-15478,6.1,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2019-15479,6.1,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2019-5463,5.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2019-6794,4.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2019-0066,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2019-8667,5.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2020-1785,5.5,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2019-19544,7.8,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2020-9339,5.4,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2019-12429,6.5,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2020-1619,6.0,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2020-14048,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2020-15157,6.1,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2020-1668,6.5,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2020-4482,6.5,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2020-35480,5.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2021-0202,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2021-0215,6.5,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2021-26915,8.1,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2021-25335,2.5,BAJO
192.168.56.101,60683,tcp,status,1,CVE-2021-21378,8.2,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2021-0230,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2021-0234,5.8,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2021-0257,6.5,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2021-31618,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2021-0279,8.6,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2021-32019,6.1,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2021-24558,5.4,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2021-22256,5.4,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2021-23047,5.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2021-41084,8.7,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2021-41580,5.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2021-22263,5.5,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2021-24662,7.2,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2021-40261,6.1,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2021-24853,4.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2021-34543,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2021-39916,4.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2021-24846,8.8,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2021-24907,6.1,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2021-43851,8.1,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2021-25079,6.1,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2021-39943,4.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2022-23998,6.2,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2022-23232,4.9,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2022-0825,5.4,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2021-33207,9.8,CRÍTICO
192.168.56.101,60683,tcp,status,1,CVE-2021-24805,4.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2022-22393,6.5,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2022-22209,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2022-36129,9.1,CRÍTICO
192.168.56.101,60683,tcp,status,1,CVE-2022-2053,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2022-3030,4.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2022-39294,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2022-2904,7.3,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2019-19030,5.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2014-125031,3.5,BAJO
192.168.56.101,60683,tcp,status,1,CVE-2022-4325,6.1,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2023-22394,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2023-22408,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2023-23077,6.1,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2023-25810,6.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2023-0980,6.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2023-26604,7.8,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2023-21464,4.0,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2023-29085,6.8,MEDIO
